176.0,142.0
170.0,174.0
163.0,220.0
146.0,147.0
119.0,142.0
185.0,95.0
196.0,196.0
169.0,163.0
191.0,197.0
167.0,149.0
173.0,167.0
197.0,144.0
188.0,188.0
182.0,193.0
190.0,185.0
183.0,116.0
181.0,171.0
209.0,145.0
189.0,184.0
225.0,197.0
170.0,136.0
149.0,173.0
175.0,150.0
174.0,171.0
166.0,132.0
120.0,180.0
156.0,180.0
163.0,116.0
113.0,198.0
171.0,55.0
187.0,132.0
172.0,130.0
187.0,99.0
184.0,124.0
192.0,184.0
103.0,103.0
194.0,135.0
121.0,185.0
166.0,155.0
153.0,184.0
190.0,146.0
169.0,148.0
169.0,142.0
152.0,195.0
195.0,143.0
159.0,180.0
190.0,157.0
160.0,177.0
157.0,130.0
157.0,122.0
210.0,173.0
168.0,208.0
196.0,148.0
187.0,110.0
166.0,120.0
182.0,151.0
176.0,77.0
101.0,189.0
147.0,186.0
198.0,157.0
115.0,128.0
146.0,131.0
121.0,185.0
149.0,108.0
139.0,141.0
173.0,132.0
188.0,183.0
174.0,128.0
177.0,156.0
202.0,173.0
159.0,105.0
137.0,171.0
169.0,171.0
146.0,158.0
143.0,111.0
202.0,137.0
130.0,156.0
186.0,126.0
158.0,107.0
205.0,143.0
177.0,77.0
197.0,145.0
167.0,125.0
171.0,206.0
205.0,167.0
121.0,124.0
221.0,133.0
211.0,163.0
166.0,98.0
202.0,94.0
191.0,161.0
162.0,150.0
158.0,141.0
195.0,146.0
206.0,201.0
167.0,129.0
191.0,143.0
202.0,169.0
165.0,133.0
182.0,217.0
188.0,153.0
180.0,146.0
196.0,214.0
144.0,168.0
231.0,168.0
192.0,141.0
194.0,125.0
151.0,161.0
159.0,172.0
210.0,135.0
177.0,109.0
146.0,158.0
209.0,164.0
197.0,147.0
206.0,131.0
243.0,137.0
219.0,141.0
139.0,153.0
207.0,116.0
98.0,105.0
191.0,165.0
218.0,163.0
177.0,170.0
189.0,233.0
209.0,166.0
166.0,191.0
190.0,170.0
209.0,147.0
151.0,207.0
187.0,184.0
176.0,139.0
151.0,169.0
130.0,139.0
118.0,141.0
210.0,96.0
198.0,71.0
161.0,161.0
156.0,206.0
198.0,142.0
153.0,98.0
131.0,134.0
160.0,186.0
144.0,164.0
160.0,106.0
168.0,105.0
81.0,192.0
164.0,157.0
152.0,186.0
